data-page-selector,Image,Title,Ratings,Review,Monthly Sales,Price,Product Identified
https://www.amazon.in/AccuPrints%C2%AE-Calendar-Planner-A5-Office-Hanging/dp/B08Q8KFVQ7/ref=zg_bs_g_3591015031_d_sccl_23/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61JHhBgoM+L.jpg,AccuPrints® Wall Calendar 2026 Planner-Size (14 x 20) inch For Office Home Table New Year Hanging Kids (35.5 x 50) cm- (14 x 20 Blue),4.2,"1,842",700+ bought in past month,265,Accuprints Wall Calendar 2026 Planner Size
https://www.amazon.in/Kaameri-Bazaar-January-Calendar-Motivational/dp/B0DP2S1Y2N/ref=zg_bs_g_3591015031_d_sccl_17/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/613qF2GHg1L._SX679_.jpg,Black Wiro January 2026 to December 2026 Desk Calendar with Motivational Quotes | A5 Black and White Table Calendar | 170 GSM,4.1,80,700+ bought in past month,199,Black Wiro January 2026 To December
https://www.amazon.in/Gratitude-Journal-Journaling-Stickers-Supplies/dp/B08LSGD2V7/ref=zg_bs_g_3591015031_d_sccl_6/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/31LWVKAqQ2L._SY300_SX300_QL70_FMwebp_.jpg,"Find Your Balance 2026 Planner | 4-Month Undated Productivity & Wellness Journal with Habit | Mood & Gratitude Trackers (White, Find Your Balance)",4.5,"2,904",700+ bought in past month,729,Find Your Balance 2026 Planner 4
https://www.amazon.in/JK-Easy-Copier-Paper-Sheets/dp/B00MVV9NUY/ref=zg_bs_g_3591019031_d_sccl_5/521-8137478-2842638?psc=1,,"JK Easy Copier Paper | A4 Size | 70 GSM | 500 Sheets | White Paper, 1 Ream | For Laserjet & Inkjet Printer | Fast Drying | Both Side Print | Eco Friendly | ColorLok (Pack of 1) | One Ream",4.2,"14,152",6K+ bought in past month,0,Jk Easy Copier Paper A4 Size
https://www.amazon.in/Pidilite-Ultimate-Adhesive-Students-FMR800150000001/dp/B00LXTFC28/ref=zg_bs_g_3591020031_d_sccl_6/521-8137478-2842638?psc=1,,"Fevicol MR 500 GM Craft Glue | Ultimate Adhesive| DIY Art & Craft | Easy to use | Multi-surface | Ideal for Children, Hobbyists, Student’s Project Work",4.5,"5,946",600+ bought in past month,196,Fevicol Mr 500 Gm Craft Glue
https://www.amazon.in/COI-Daily-Planner-2026-2027-January/dp/B0G2MGJG3X/ref=zg_bs_g_3591019031_d_sccl_24/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/315+NdoKA-L._SY300_SX300_QL70_FMwebp_.jpg,"COI Daily Planner 2026-2027, 18 Month Planner with Tabs, January 2026 - June 2027, 2026 Planner Weekly and Monthly Academic Year Calendar, Spiral Time Management Manual, A5 Size, Black",4.7,33,600+ bought in past month,299,Coi Daily Planner 2026 2027 18
https://www.amazon.in/Whaline-Self-Outline-Metallic-Stationery-Birthday/dp/B083DF2WDB/ref=zg_bs_g_3591019031_d_sccl_9/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/81ajjgsyZxL._SX679_.jpg,"Whaline Double Line Chisel Point Outline Pens, 12 Colors Self-Outline Drawing Metallic Markers, Stationery for Gift Card Writing, Birthday Greeting, Scrap Booking",4.1,"6,671",600+ bought in past month,175,Whaline Double Line Chisel Point Outline
https://www.amazon.in/Niwlix-Scrapbook-Notebook-Aesthetic-Journaling/dp/B0FB94SBST/ref=zg_bs_g_3591019031_d_sccl_1/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/71Bz9ZI6SCL._SX679_.jpg,"Niwlix Scrapbook Kit with A6 Grid Notebook, Bullet Junk Journals, DIY Gift Aesthetic Journaling Supplies for Teen Girl Women (Brown Kit)",4.5,55,600+ bought in past month,353,Niwlix Scrapbook Kit A6 Grid Notebook
https://www.amazon.in/HT20-Wireless-Connectivity-Induction-Supermarket/dp/B0CPDPTHVN/ref=zg_bs_g_3591018031_d_sccl_22/521-8137478-2842638?psc=1,,Helett® HT20™ Wireless 2.4GHz 2D & 1D Barcode Scanner (QR Code & Barcode) Wired & Wireless(Rechargeable) Connectivity | Induction Scanning with Built-in Illumination Light |Strong ABS(1-Year Warranty),4.1,773,600+ bought in past month,"2,279",Helett Ht20 Wireless 2 4Ghz 2D
https://www.amazon.in/Gift-Kya-Organizer-Perpetual-Eco-Friendly/dp/B083F3863T/ref=zg_bs_g_3591015031_d_sccl_19/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/71HsesWYD4L._SX679_.jpg,Gift Kya De 2026 Lifetime Desk Calendar with Desk Organizer & Photo Frame | Reusable Wooden Perpetual Calendar for Office & Home Decor | Eco-Friendly Tabletop Calendar | New Year Gift (Bamboo),4.2,555,600+ bought in past month,549,Gift Kya De 2026 Lifetime Desk
https://www.amazon.in/AGARO-Compressed-Duster-48000RPM-Portable/dp/B0C1GY4Q2N/ref=zg_bs_g_3591020031_d_sccl_11/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/71knuFDsYwL._SX679_.jpg,"AGARO Compressed Air Duster,Air Blower, Powerful 48000 RPM, Variable Speed, Copper Motor, Air Spray/Blower for Electronics & Inflatables, Dust Cleaner for Computer, Laptop, Home, Car & Office, AD1719",4.4,928,500+ bought in past month,"2,599",Agaro Compressed Air Duster Air Blower
https://www.amazon.in/Thermal-57mmx30mm-Self-Adhesive-Printer-Receipt/dp/B0D3WYZKHF/ref=zg_bs_g_3591020031_d_sccl_5/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/51VrYEr-0YL._SX679_.jpg,"Seznik Thermal Lables, 50mmx30mm Labels, 2 inch Self-Adhesive Thermal Labels for Thermal Printer [Printer NOT Included] (50mmx30mm - 1000 Lables)",4.3,272,500+ bought in past month,298,Seznik Thermal Lables 50Mmx30Mm Labels 2
https://www.amazon.in/DOODLE-Daily-Minute-Gratitude-Journal/dp/B0F99C5PHK/ref=zg_bs_g_3591020031_d_sccl_26/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/71y9kwOFb+L._SY879_.jpg,"DOODLE Daily 5 Minute Gratitude Journal - Positivity, Wellness & Mindfulness Journal for Teens & Adults - 90-Day Habit Builder | 112 Undated Pages | A5 | Guided Prompts & Fun Activities",4.4,110,500+ bought in past month,199,Doodle Daily 5 Minute Gratitude Journal
https://www.amazon.in/Amazon-Basics-70gsm-Thermal-Printer/dp/B0DJZHXTCH/ref=zg_bs_g_3591020031_d_sccl_25/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61V0wZpC5jL._SX679_.jpg,"Amazon Basics 70gsm Thermal Label Printer Paper - 4"" x 6"" (100 x 150 mm)| Ideal for Shipping, Parcel, Barcode, and Address Labels - 400 Labels per Roll (Pack of 4)",4.1,"19,673",500+ bought in past month,"1,199",Amazon Basics 70Gsm Thermal Label Printer
