Link,Title,Product Identified,Monthly Sales,Review,Price,Review,Image
https://www.amazon.in/USI-Universal-Wrestling-Suit-419WSM/dp/B08NCPHWMC/ref=zg_bs_g_3403677031_d_sccl_1/521-8137478-2842638?psc=1,"USI UNIVERSAL THE UNBEATABLE 419WSM Wrestling Suit for Men & Women, Wrestling Singlet with Nylon Elastane Fabric 210 GSM, Grip Elastic On Bottom Hole(Blue, Size L)",Wrestling Singlet,50+ bought in past month,-113,"1,207",113,https://m.media-amazon.com/images/I/71jZS+X7+pL._SX679_.jpg
https://www.amazon.in/Dollar-Elastic-Thermal-Trouser-8905203005413_MWLT-02-LDS-PO1-TE-BLUE_L/dp/B09LQKC9KQ/ref=zg_bs_g_3403676031_d_sccl_30/521-8137478-2842638?psc=1,Dollar Women Thermal Bottom,Dollar Thermal Bottom,50+ bought in past month,-69,293,69,
https://www.amazon.in/NORTHWIND-Ribbed-Winter-Beanie-Woolen/dp/B0CM3Y5K5Q/ref=zg_bs_g_3403676031_d_sccl_29/521-8137478-2842638?psc=1,"NORTHWIND Ribbed Winter Cap for Men and Women, Beanie Woolen Cap for Women, Winter Wear, Beanie Cap for Men, Monkey Woolen Cap for Man",Northwind Ribbed Winter Cap,50+ bought in past month,-110,344,110,
https://www.amazon.in/Kaththai-Thermal-Stylish-Camisole-Slim-Fit/dp/B0DS15RPFT/ref=zg_bs_g_3403676031_d_sccl_28/521-8137478-2842638?psc=1,"Thermal Wear for Women Stylish Velvet Camisole Woolen Tops Fleece Warmers, Slim-Fit Body Shaper Winter Inner Vest Shirt (Free Size)(Bust Size:66 to 95 CM)",Thermal Wear Stylish Velvet,50+ bought in past month,-142,497,142,
https://www.amazon.in/Boldfit-Holidays-Trekking-Disposable-Air-Activated/dp/B0FVMHHYL5/ref=zg_bs_g_3403676031_d_sccl_27/521-8137478-2842638?psc=1,"Boldfit Hand Warmer Natural Heat Pad (Pack of 5), Hand Warmers Heat Pouch for Men & Women, 14 Hours Warmth for Winter Holidays, Camping, Trekking & Outdoors, Disposable Air-Activated Hand Warmer",Boldfit Hand Warmer Natural,50+ bought in past month,-30,399,30,https://m.media-amazon.com/images/I/61Cws2cHIpL._SX679_.jpg
https://www.amazon.in/BE-SAVAGE-Balaclava-Winterwear-Jackets/dp/B0FPFN98L9/ref=zg_bs_g_3403676031_d_sccl_26/521-8137478-2842638?psc=1,BE SAVAGE Ninja Balaclava Zipper Hoodie Zipper Jacket for Men Winterwear Jackets for Men,Be Savage Ninja Balaclava,50+ bought in past month,-248,949,248,
https://www.amazon.in/DENIMHOLIC-Winter-Beanie-Women-Woolen/dp/B0DHS263YF/ref=zg_bs_g_3403676031_d_sccl_25/521-8137478-2842638?psc=1,"DENIMHOLIC Winter Cap for Men, Beanie Cap for Man,Winter Cap for Women, Woolen Cap for Women, Woolen Cap for Men","Denimholic Winter Cap Men,",50+ bought in past month,-84,370,84,
https://www.amazon.in/Lux-Cotts-Wool-Sleeves-Thermal/dp/B0C3W9BK2Q/ref=zg_bs_g_3403676031_d_sccl_24/521-8137478-2842638?psc=1,Lux Cott's Wool Men Undershirt,Lux Cott'S Wool Undershirt,50+ bought in past month,-209,399,209,https://m.media-amazon.com/images/I/61leyXW00fL._SY879_.jpg
https://www.amazon.in/Lux-Cottswool-Premium-Trouser-Thermal/dp/B08LH3MYDX/ref=zg_bs_g_3403676031_d_sccl_23/521-8137478-2842638?psc=1,Lux Cottswool Women's Premium Thermal Trouser | Thermal Trouser for Women,Lux Cottswool Women'S Thermal,50+ bought in past month,-304,429,304,https://m.media-amazon.com/images/I/51ygyshh+7L._SY879_.jpg
https://www.amazon.in/Gajraj-Winter-Beanie-Earflaps-Outdoor/dp/B0DGXX27DN/ref=zg_bs_g_3403676031_d_sccl_22/521-8137478-2842638?psc=1,Gajraj Mens Wool Winter Beanie Earflaps Cap with Warmer Outdoor Fleece Hat with Visor,Gajraj Mens Wool Winter,50+ bought in past month,-111,459,111,
